control_name,passed,expected_value,actual_value,detail
isolated_official_database,True,banking_official_202501_202603,banking_official_202501_202603,Mart certification must never reuse the fixture development database.
official_mart_relation_counts,True,bridge_account_reporting_line=7|dim_bank=15|dim_cosif_account=1056|dim_date=15|dim_document=2|dim_macro_series=5|dim_reporting_line=4|dim_source_file=15|fact_account_balance=121092|fact_macro_observation=75|fact_monthly_economic_context=75|fact_reporting_line_balance=900,bridge_account_reporting_line=7|dim_bank=15|dim_cosif_account=1056|dim_date=15|dim_document=2|dim_macro_series=5|dim_reporting_line=4|dim_source_file=15|fact_account_balance=121092|fact_macro_observation=75|fact_monthly_economic_context=75|fact_reporting_line_balance=900,All twelve frozen consumption objects must match the official reference build.
reporting_line_mapping_frozen,True,"rows=7|versions=2026-08-11-v1|statuses=certified|accounts=1000000009,1600000007,1700000000,1810000000,2000000008,4100000009,6000000004","rows=7|versions=2026-08-11-v1|statuses=certified|accounts=1000000009,1600000007,1700000000,1810000000,2000000008,4100000009,6000000004",Seven non-overlapping top-level COSIF accounts define the four reporting lines.
official_marts_are_fixture_free,True,0,0,Every official dimension or fact carrying fixture lineage must be fixture-free.
stable_population_coverage,True,banks=15|months=15|total_asset_rows=225,banks=15|months=15|total_asset_rows=225,The frozen top-15 population must be comparable across all fifteen months.
reporting_line_coverage,True,rows=900|lines=4,rows=900|lines=4,Each of fifteen banks and fifteen months requires all four reporting lines.
reporting_line_account_reconciliation,True,mismatches=0|max_difference_brl<=0.01,mismatches=0|max_difference_brl=0.00,Reporting facts must reproduce the mapped source-account sums exactly.
top15_total_assets_reconciliation,True,225/225|max_difference_brl<=0.01,225/225|max_difference_brl=0.00,The total-assets mart line must reproduce the frozen checkpoint 0C evidence.
monthly_macro_context_coverage,True,rows=75|series=5|months=15,rows=75|series=5|months=15,The aligned context fact must preserve five governed series over fifteen months.
official_dbt_mart_build,True,models=24|seeds=2|tests=188|failures=0|total=214,models=24|seeds=2|tests=188|failures=0|total=214,The official dbt result must contain the complete expanded graph and test suite.
mart_contract_matches_warehouse,True,banking_reporting_marts|2026-08-11-v1|objects=12|schema_issues=0,banking_reporting_marts|2026-08-11-v1|objects=12|schema_issues=0,The versioned handoff contract must match every ordered warehouse column and type.
expanded_official_dagster_run,True,valid_uuid|success,8dff5096-2d50-418c-a8a7-8758c7ed63f4|success,The expanded official Dagster graph must finish successfully with marts included.
reporting_marts_certified,True,certified,certified,Certification freezes the data-to-BI boundary; Power BI remains downstream.
