control_name,passed,expected_value,actual_value,detail
isolated_official_database,True,banking_official_202501_202603,banking_official_202501_202603,Certification must never reuse the fixture-backed development database.
official_relation_counts,True,analytics_core.account_balance=831038|analytics_core.bank_period=2589|analytics_core.cosif_account=1056|analytics_core.cosif_file_manifest=15|analytics_core.macro_observation=75|analytics_core.macro_series=5|raw_cosif.cosif_balance_row=831038|raw_cosif.cosif_file_manifest=15|raw_macro.sgs_fetch_manifest=5|raw_macro.sgs_observation=75|raw_macro.sgs_series_metadata=5,analytics_core.account_balance=831038|analytics_core.bank_period=2589|analytics_core.cosif_account=1056|analytics_core.cosif_file_manifest=15|analytics_core.macro_observation=75|analytics_core.macro_series=5|raw_cosif.cosif_balance_row=831038|raw_cosif.cosif_file_manifest=15|raw_macro.sgs_fetch_manifest=5|raw_macro.sgs_observation=75|raw_macro.sgs_series_metadata=5,All five raw and six canonical-core relations must match the frozen source window.
official_cosif_coverage,True,202501|202603|periods=15|checksums=15|raw=831038|declared=831038,202501|202603|periods=15|checksums=15|raw=831038|declared=831038,Manifest identities and declared volumes must reconcile to landed balances.
official_macro_coverage,True,202501|202603|series=5|rows=75|fetches=5|responses=75,202501|202603|series=5|rows=75|fetches=5|responses=75,All frozen SGS series require one observation per month and a clean fetch record.
official_rows_are_fixture_free,True,raw=0|core=0,raw=0|core=0,No fact-like official certification relation may contain fixture-labelled rows.
official_dlt_replay_idempotent,True,cosif_success>=2|macro_success>=2|failed=0,cosif_success=2|macro_success=2|failed=0,Direct and Dagster dlt executions must leave stable identities and only successful loads.
official_raw_core_reconciliation,True,balances=831038|manifests=15|observations=75|series=5,balances=831038|manifests=15|observations=75|series=5,Canonical core must preserve the selected raw official identities.
official_top15_total_assets_reconciliation,True,225/225|max_difference_brl<=0.01,225/225|max_difference_brl=0.00,The core 4010 class-1 plus class-2 balances must reproduce checkpoint 0C.
official_dbt_build,True,models=11|tests=106|failures=0|total=117,models=11|tests=106|failures=0|total=117,The official dbt result artifact must contain every implemented model and test.
official_dagster_run,True,valid_uuid|success,69dd1ce1-74e9-4ebb-85b5-af7c3fa155c0|success,The terminal official_end_to_end result is recorded from the attached CLI execution.
official_warehouse_certified,True,certified,certified,This certifies landing and canonical core only; reporting marts remain separate.
